subject	area	theme	subtheme
CB	Biologia	Herencia y evolucion	Aplicaciones de la manipulacion genetica
CB	Biologia	Herencia y evolucion	Division celular (mitosis y meiosis)
CB	Biologia	Herencia y evolucion	Evidencias de la evolucion biologica y teorias evolutivas
CB	Biologia	Organismo y ambiente	Cadenas troficas y flujo de materia y energia en los ecosistemas
CB	Biologia	Organismo y ambiente	Fotosintesis y respiracion celular
CB	Biologia	Organizacion, estructura y actividad celular	Intercambio de sustancias celula/ambiente
CB	Biologia	Organizacion, estructura y actividad celular	Organelos y estructuras celulares en procariontes y eucariontes
CB	Biologia	Organizacion, estructura y actividad celular	Relacion estructura-funcion en distintos tipos celulares
CB	Biologia	Procesos y funciones biologicas	Infecciones de transmision sexual (ITS)
CB	Biologia	Procesos y funciones biologicas	Nutricion y biomoleculas
CB	Biologia	Procesos y funciones biologicas	Reproduccion humana y control de la natalidad
CB	Biologia	Procesos y funciones biologicas	Sistema inmunologico y enfermedades inmunologicas
CF	Fisica	Electricidad	Electrizacion y conductores/aislantes
CF	Fisica	Electricidad	Generacion de electricidad y eficiencia energetica
CF	Fisica	Electricidad	Ley de Ohm y circuitos electricos
CF	Fisica	Energia	Cambios de fase y transferencia de calor
CF	Fisica	Energia	Modelos termicos y tectonica de placas
CF	Fisica	Energia	Temperatura y escalas termometricas
CF	Fisica	Mecanica	Fuerza de roce y presion sobre solidos, liquidos y gases
CF	Fisica	Mecanica	Leyes de Newton y diagramas de cuerpo libre
CF	Fisica	Ondas	Dispositivos tecnologicos que operan con ondas
CF	Fisica	Ondas	Espectro electromagnetico y formacion de colores
CF	Fisica	Ondas	Interacciones como absorcion, reflexion y refraccion
CF	Fisica	Ondas	Ondas electromagneticas y su propagacion
CQ	Quimica	Estructura atomica	Configuracion electronica y tabla periodica
CQ	Quimica	Estructura atomica	Modelos atomicos de Dalton, Thomson, Rutherford y Bohr
CQ	Quimica	Estructura atomica	Tipos de enlaces quimicos (ionico, covalente y metalico)
CQ	Quimica	Quimica organica	Hidrocarburos y grupos funcionales
CQ	Quimica	Quimica organica	Propiedades del carbono y enlaces quimicos
CQ	Quimica	Quimica organica	Representacion de moleculas organicas
CQ	Quimica	Reacciones quimicas y estequiometria	Balance de ecuaciones quimicas
CQ	Quimica	Reacciones quimicas y estequiometria	Relaciones estequiometricas y reactivo limitante
CQ	Quimica	Reacciones quimicas y estequiometria	Solubilidad y unidades de concentracion
H	Formacion Ciudadana	Sociedad democratica	Fundamentos y atributos de la democracia
H	Formacion Ciudadana	Sociedad democratica	Impacto de la tecnologia en la democracia
H	Formacion Ciudadana	Sociedad democratica	Institucionalidad democratica en Chile
H	Historia	Cambios politicos, economicos, sociales y culturales del siglo XIX	Ideas republicanas y liberales en America y Europa
